imdbId,genreId
tt0369610,1
tt0369610,2
tt0369610,16
tt3774694,7
tt3774694,15
tt2361509,5
tt2361509,7
tt2381249,1
tt2381249,2
tt2381249,18
tt3460252,6
tt3460252,7
tt3460252,14
tt1392190,1
tt1392190,2
tt1392190,16
tt3397884,1
tt3397884,6
tt3397884,7
tt1596363,4
tt1596363,5
tt1596363,7
tt3659388,2
tt3659388,7
tt3659388,16
tt1663202,2
tt1663202,7
tt1663202,20
tt2140379,1
tt2140379,14
tt2140379,16
tt2494362,7
tt2494362,11
tt2494362,20
tt4263482,7
tt4263482,9
tt4263482,11
tt2395427,1
tt2395427,2
tt2395427,16
tt3569230,4
tt3569230,6
tt3569230,7
tt1895587,4
tt1895587,6
tt1895587,7
tt1638355,1
tt1638355,2
tt1638355,5
tt2488496,1
tt2488496,2
tt2488496,16
tt3464902,7
tt3464902,15
tt3464902,16
tt3076658,1
tt3076658,7
tt3076658,17
tt2096673,3
tt2096673,2
tt2096673,5
tt2379713,1
tt2379713,2
tt2379713,18
tt0478970,1
tt0478970,5
tt0478970,16
tt1951266,1
tt1951266,2
tt1951266,16
tt1661199,2
tt1661199,7
tt1661199,8
tt2140479,1
tt2140479,6
tt2140479,7
tt3748528,1
tt3748528,2
tt3748528,16
tt2543164,7
tt2543164,14
tt2543164,16
tt4016934,7
tt4016934,15
tt4016934,18
tt2119532,4
tt2119532,7
tt2119532,10
tt3783958,5
tt3783958,7
tt3783958,12
tt2948356,3
tt2948356,1
tt2948356,2
tt3799694,1
tt3799694,5
tt3799694,6
tt2674426,7
tt2674426,15
tt4972582,11
tt4972582,18
tt5700672,1
tt5700672,11
tt5700672,18
tt4846340,4
tt4846340,7
tt4846340,10
tt1431045,1
tt1431045,5
tt1431045,16
tt5311514,3
tt5311514,7
tt5311514,9
tt4975722,7
tt4034228,7
tt2404435,1
tt2404435,2
tt2404435,7
tt2975590,1
tt2975590,2
tt2975590,16
tt3470600,3
tt3470600,5
tt3470600,8
tt2582782,6
tt2582782,7
tt2582782,18
tt3521164,3
tt3521164,2
tt3521164,5
tt3110958,1
tt3110958,2
tt3110958,5
tt3498820,1
tt3498820,16
tt0490215,7
tt0490215,10
tt4257926,4
tt4257926,7
tt4257926,8
tt1856101,1
tt1856101,7
tt1856101,14
tt5052448,11
tt5052448,14
tt5052448,18
tt1396484,11
tt1959563,1
tt1959563,5
tt1959563,6
tt4425200,1
tt4425200,6
tt4425200,18
tt3829920,1
tt3829920,4
tt3829920,7
tt5013056,1
tt5013056,7
tt5013056,10
tt5726616,7
tt5726616,15
tt2283362,1
tt2283362,2
tt2283362,5
tt1485796,4
tt1485796,7
tt1485796,13
tt1790809,1
tt1790809,2
tt1790809,9
tt3532216,1
tt3532216,5
tt3532216,6
tt5362988,6
tt5362988,7
tt5362988,14
tt3501632,1
tt3501632,2
tt3501632,5
tt5027774,5
tt5027774,6
tt5027774,7
tt3890160,1
tt3890160,6
tt3890160,7
tt2380307,3
tt2380307,2
tt2380307,7
tt5580390,7
tt5580390,9
tt5580390,15
tt3315342,1
tt3315342,7
tt3315342,16
tt2250912,1
tt2250912,2
tt2250912,16
tt5638642,11
tt5638642,14
tt5638642,18
tt5776858,7
tt5776858,15
tt4481414,7
tt0974015,1
tt0974015,2
tt0974015,9
tt2527336,1
tt2527336,2
tt2527336,9
tt4881806,1
tt4881806,2
tt4881806,16
tt4912910,1
tt4912910,2
tt4912910,18
tt6966692,4
tt6966692,5
tt6966692,7
tt7784604,7
tt7784604,11
tt7784604,14
tt4154756,1
tt4154756,2
tt4154756,16
tt1825683,1
tt1825683,2
tt1825683,16
tt4633694,3
tt4633694,1
tt4633694,2
tt6499752,1
tt6499752,16
tt6499752,18
tt1259528,1
tt1259528,6
tt1259528,7
tt2798920,2
tt2798920,7
tt2798920,11
tt7040874,5
tt7040874,6
tt7040874,14
tt6644200,7
tt6644200,11
tt6644200,16
tt1677720,1
tt1677720,2
tt1677720,16
tt2704998,1
tt2704998,2
tt2704998,5
tt1517451,7
