imdbId,genreId
tt1877830,6
tt1877830,7
tt13560574,11
tt13560574,14
tt13560574,18
tt9764362,5
tt9764362,11
tt9764362,18
tt11866324,1
tt11866324,2
tt11866324,11
tt6710474,1
tt6710474,2
tt6710474,5
tt10640346,5
tt10640346,7
tt9114286,1
tt9114286,2
tt9114286,7
tt11813216,5
tt11813216,7
tt19770238,7
tt18925334,7
tt18925334,11
tt18925334,18
tt11138512,1
tt11138512,2
tt11138512,7
tt15325794,1
tt15325794,18
tt1649418,1
tt1649418,14
tt1649418,18
tt11564570,5
tt11564570,6
tt11564570,7
tt10731256,7
tt10731256,14
tt10731256,18
tt10954984,11
tt10954984,14
tt10954984,16
tt1464335,1
tt1464335,2
tt1630029,1
tt1630029,2
tt1630029,9
tt15474916,11
tt15474916,14
tt15474916,18
tt10648342,1
tt10648342,2
tt10648342,5
tt15398776,4
tt15398776,7
tt15398776,10
tt9603212,1
tt9603212,2
tt9603212,18
tt10366206,1
tt10366206,6
tt10366206,18
tt22375054,11
tt22375054,18
tt10545296,1
tt10545296,2
tt10545296,7
tt15671028,5
tt15671028,15
tt26047818,5
tt26047818,15
tt5884796,1
tt5884796,2
tt5884796,18
tt3107288,1
tt3107288,2
tt3107288,7
tt1517268,2
tt1517268,5
tt1517268,9
tt14230458,5
tt14230458,7
tt14230458,15
tt9362722,3
tt9362722,1
tt9362722,2
tt5537002,6
tt5537002,7
tt5537002,10
tt20215968,5
tt20215968,6
tt20215968,15
tt13238346,7
tt13238346,15
tt4495098,1
tt4495098,2
tt4495098,7
tt17351924,7
tt17351924,18
tt6791350,1
tt6791350,2
tt6791350,5
tt7160372,7
tt7160372,10
tt7160372,19
tt23849204,4
tt23849204,7
tt11858890,1
tt11858890,2
tt11858890,7
tt21064584,4
tt21064584,7
tt21064584,17
tt17009710,6
tt17009710,7
tt17009710,18
tt2906216,1
tt2906216,2
tt2906216,5
tt4873118,1
tt4873118,7
tt4873118,18
tt5040012,9
tt5040012,11
tt5040012,14
tt28015403,11
tt28015403,18
tt9218128,1
tt9218128,2
tt9218128,7
tt28607951,5
tt28607951,7
tt28607951,15
tt1262426,9
tt1262426,13
tt1262426,15
tt27131358,7
tt27131358,15
tt17526714,7
tt17526714,11
tt17526714,16
tt8999762,7
tt11563598,4
tt11563598,7
tt11563598,12
tt15239678,1
tt15239678,2
tt15239678,7
tt12584954,1
tt12584954,2
tt12584954,18
tt29623480,3
tt29623480,16
tt20215234,7
tt20215234,18
tt26625693,6
tt26625693,7
tt26625693,18
tt5177120,1
tt5177120,5
tt5177120,19
tt12037194,1
tt12037194,2
tt12037194,16
tt27534307,7
tt27534307,11
tt27534307,18
tt15314262,1
tt15314262,6
tt15314262,18
tt14961016,4
tt14961016,7
tt14961016,10
tt18259086,1
tt18259086,2
tt18259086,5
tt21382296,1
tt21382296,6
tt21382296,18
tt28249919,7
tt28249919,11
tt28249919,18
tt17279496,1
tt17279496,18
tt27403986,6
tt27403986,7
tt27403986,14
